0,noun,digit
1,noun,digit
10,noun,large integer
100,noun,large integer
1000,noun,large integer
11,noun,large integer
12,noun,large integer
120,noun,large integer
13,noun,large integer
14,noun,large integer
15,noun,large integer
16,noun,large integer
17,noun,large integer
18,noun,large integer
19,noun,large integer
2,noun,digit
20,noun,large integer
21,noun,large integer
22,noun,large integer
23,noun,large integer
24,noun,large integer
25,noun,large integer
26,noun,large integer
27,noun,large integer
28,noun,large integer
29,noun,large integer
3,noun,digit
30,noun,large integer
4,noun,digit
40,noun,large integer
5,noun,digit
50,noun,large integer
500,noun,large integer
6,noun,digit
60,noun,large integer
7,noun,digit
70,noun,large integer
78,noun,large integer|phonograph record
8,noun,digit
80,noun,large integer
9,noun,digit
90,noun,large integer
a la carte,noun,menu
abandoned,verb,discard|leave|leave
abashed,verb,upset
abbreviated,verb,decrease|reduce
abdominal,noun,skeletal muscle
abducent,noun,cranial nerve
abducting,verb,seize|pull
abecedarian,noun,novice|sect
aberrant,noun,anomaly
abiding,verb,stay|permit
abkhaz,noun,circassian
abkhazian,noun,circassian|circassian
ablated,verb,wear|remove
ablative,noun,oblique
abnaki,noun,algonquian|algonquian
aboriginal,noun,australian;ethnic group|person
abortifacient,noun,drug
abounding,verb,be|have
above,noun,section
abrasive,noun,material
abridged,verb,decrease|restrict
absent,verb,disappear
absolute,noun,abstraction
absolutist,noun,disciple
absolved,verb,forgive|forgive
absorbed,verb,sorb|learn|fund|blend|concentrate|receive|interest
absorbent,noun,sorbent
absorbing,verb,sorb|learn|fund|blend|concentrate|receive|interest
abstinent,noun,person
abstract,noun,concept|summary
abstract,verb,see|steal|consider|sum up
abstracted,verb,see|steal|consider|sum up
abstractionist,noun,painter
absurd,noun,situation
abused,verb,treat|use|attack|use
academic,noun,educator
acatalectic,noun,line of poetry
accelerando,noun,tempo
accelerated,verb,intensify|change
accented,verb,express|pronounce
accepted,verb,evaluate|get|react|react|accept|take|digest|be|receive|react
accepting,verb,evaluate|get|react|react|accept|take|digest|be|receive|react
accessary,noun,criminal
accessory,noun,clothing|component|criminal
accidental,noun,musical notation
accommodating,verb,meet|change|provide|house|comply|harmonize
accompanied,verb,travel|play|consort
accompanying,verb,travel|play|consort
accomplished,verb,complete;effect|succeed
according,verb,match|give
accoutered,verb,equip
accoutred,verb,equip
accredited,verb,license|appoint|impute
accrued,verb,increase|change hands
accumulated,verb,store|increase
accursed,verb,deplore
accusative,noun,oblique
accusing,verb,charge
accustomed,verb,change
ace,noun,digit|playing card|expert|protease|headquarters|serve
ace,verb,pass|score|play|serve
achaean,noun,greek|citizenry
aching,noun,pain
aching,verb,perceive|hanker|cause to be perceived
acid,noun,compound|lysergic acid diethylamide
acknowledged,verb,declare|communicate|react|thank|accept|accept
acoustic,noun,remedy
acquainted,verb,inform|inform|inform
acquired,verb,change|change|situate|get|change
acquitted,verb,pronounce|act;hold
acting,noun,activity;performing arts
acting,verb,re-create|serve|act|be|succeed|perform
actinoid,noun,group
activated,verb,initiate|change|change|change|change
activating,noun,activity
activating,verb,initiate|change|change|change|change
active,noun,chemical agent|voice|person
activist,noun,reformer
actuated,verb,initiate|cause
actuating,verb,initiate|cause
acuminate,verb,sharpen
acute,noun,accent
ad-lib,noun,remark
ad-lib,verb,perform
adagio,noun,musical composition;passage|dancing
adamant,noun,carbon;transparent gem
adapted,verb,change|change
addicted,verb,habituate
additive,noun,addition
addled,verb,jumble|spoil
addressed,verb,communicate|label|target|use|address|access|broach|come|align
adducting,verb,pull
adenoid,noun,lymphatic tissue
adept,noun,expert
adherent,noun,follower
adhesive,noun,material
adjective,noun,modifier|major form class
adjunct,noun,inessential|associate|construction
adjusted,verb,change|reorient|change|adapt|decide
adjuvant,noun,additive
admired,verb,respect|look
admonishing,verb,rede|warn|knock
adolescent,noun,juvenile
adonic,noun,verse
adopted,verb,choose|accept|take office|change|take|write|accept
adored,verb,love
adoring,verb,love
adorned,verb,change|be|equip
adrenal,noun,endocrine gland
adrenergic,noun,vasoconstrictor
adsorbate,noun,sorbate
adsorbent,noun,sorbent
adult,noun,person|animal
adulterant,noun,substance
adulterate,verb,corrupt
adulterated,verb,corrupt
adulterating,verb,corrupt
advance,noun,change of location|transformation|suggestion|motion|sum|increase
